step,obs/extra/box_pose_6d_from_bimanual_center_0,obs/extra/box_pose_6d_from_bimanual_center_1,obs/extra/box_pose_6d_from_bimanual_center_2,obs/extra/box_pose_6d_from_bimanual_center_3,obs/extra/box_pose_6d_from_bimanual_center_4,obs/extra/box_pose_6d_from_bimanual_center_5,obs/extra/box_pose_6d_from_bimanual_center_6,obs/extra/box_pose_6d_from_bimanual_center_7,obs/extra/box_pose_6d_from_bimanual_center_8
0,0.3260219097137451,0.01977590098977089,-0.031000006943941116,0.33171743154525757,0.943378746509552,5.218322485234239e-08,-0.943378746509552,0.33171743154525757,1.7882039173855446e-06
1,0.3260219097137451,0.019775893539190292,-0.031000006943941116,0.3317173719406128,0.9433788061141968,2.0998529137727928e-08,-0.9433788061141968,0.3317173719406128,1.7316071989625925e-06
2,0.3260219097137451,0.01977589912712574,-0.031000006943941116,0.33171743154525757,0.943378746509552,5.317076556821121e-09,-0.943378746509552,0.33171743154525757,1.6818410131236305e-06
3,0.3260219097137451,0.019775889813899994,-0.031000006943941116,0.3317173719406128,0.9433788061141968,-1.8631228115850718e-08,-0.9433788061141968,0.3317173719406128,1.617271664144937e-06
4,0.3260219097137451,0.01977589540183544,-0.031000006943941116,0.33171743154525757,0.943378746509552,-3.8472308006021194e-08,-0.943378746509552,0.33171743154525757,1.5647290183551377e-06
5,0.3260219097137451,0.01977589912712574,-0.031000006943941116,0.3317173719406128,0.9433788061141968,7.042127236900342e-08,-0.9433788061141968,0.3317173719406128,1.8708846027948312e-06
6,0.3260219097137451,0.01977589540183544,-0.031000006943941116,0.33171743154525757,0.943378746509552,4.8025754040281754e-08,-0.943378746509552,0.33171743154525757,1.8126661416317802e-06
7,0.3260219097137451,0.01977589540183544,-0.031000006943941116,0.3317173719406128,0.9433788061141968,3.863937436676679e-08,-0.9433788061141968,0.3317173719406128,1.7588278069524677e-06
8,0.3260219097137451,0.01977589912712574,-0.031000006943941116,0.33171743154525757,0.943378746509552,1.0652115634002257e-08,-0.943378746509552,0.33171743154525757,1.7082757040043361e-06
9,0.3260219097137451,0.01977589912712574,-0.031000006943941116,0.3317173719406128,0.9433788061141968,-5.9584417400060374e-09,-0.9433788061141968,0.3317173719406128,1.6541102922928985e-06
