step,box_rotation_target_delta_0
0,2.700000047683716
1,2.700000047683716
2,2.700000047683716
3,2.700000047683716
4,2.700000047683716
5,2.700000047683716
6,2.700000047683716
7,2.700000047683716
8,2.700000047683716
9,2.700000047683716
10,2.700000047683716
11,2.700000047683716
12,2.700000047683716
13,2.700000047683716
14,2.700000047683716
15,2.700000047683716
16,2.700000047683716
17,2.700000047683716
18,2.700000047683716
19,2.700000047683716
20,2.700000047683716
21,2.700000047683716
22,2.700000047683716
23,2.700000047683716
24,2.700000047683716
25,2.700000047683716
26,2.700000047683716
27,2.700000047683716
28,2.700000047683716
29,2.700000047683716
30,2.700000047683716
31,2.700000047683716
32,2.700000047683716
33,2.700000047683716
34,2.700000047683716
35,2.700000047683716
36,2.700000047683716
37,2.700000047683716
38,2.700000047683716
39,2.700000047683716
40,2.700000047683716
41,2.700000047683716
42,2.700000047683716
43,2.700000047683716
44,2.700000047683716
45,2.700000047683716
46,2.700000047683716
47,2.700000047683716
48,2.700000047683716
49,2.700000047683716
50,2.700000047683716
51,2.700000047683716
52,2.700000047683716
53,2.700000047683716
54,2.700000047683716
55,2.700000047683716
56,2.700000047683716
57,2.700000047683716
58,2.700000047683716
59,2.700000047683716
60,2.700000047683716
61,2.700000047683716
62,2.700000047683716
63,2.700000047683716
64,2.700000047683716
65,2.700000047683716
66,2.700000047683716
67,2.700000047683716
68,2.700000047683716
69,2.700000047683716
70,2.700000047683716
71,2.700000047683716
72,2.700000047683716
73,2.700000047683716
74,2.700000047683716
75,2.700000047683716
76,2.700000047683716
77,2.700000047683716
78,2.700000047683716
79,2.700000047683716
80,2.700000047683716
81,2.700000047683716
82,2.700000047683716
83,2.700000047683716
84,2.700000047683716
85,2.700000047683716
86,2.700000047683716
87,2.700000047683716
88,2.700000047683716
89,2.700000047683716
90,2.700000047683716
91,2.700000047683716
92,2.700000047683716
93,2.700000047683716
94,2.700000047683716
95,2.700000047683716
96,2.700000047683716
97,2.700000047683716
98,2.700000047683716
99,2.700000047683716
100,2.700000047683716
101,2.700000047683716
102,2.700000047683716
103,2.700000047683716
104,2.700000047683716
105,2.700000047683716
106,2.700000047683716
107,2.700000047683716
108,2.700000047683716
109,2.700000047683716
110,2.700000047683716
111,2.700000047683716
112,2.700000047683716
113,2.700000047683716
114,2.700000047683716
115,2.700000047683716
116,2.700000047683716
117,2.700000047683716
118,2.700000047683716
119,2.700000047683716
120,2.700000047683716
121,2.700000047683716
122,2.700000047683716
123,2.700000047683716
124,2.700000047683716
125,2.700000047683716
126,2.700000047683716
127,2.700000047683716
128,2.700000047683716
129,2.700000047683716
130,2.700000047683716
131,2.700000047683716
132,2.700000047683716
133,2.700000047683716
134,2.700000047683716
135,2.700000047683716
136,2.700000047683716
137,2.700000047683716
138,2.700000047683716
139,2.700000047683716
140,2.700000047683716
141,2.700000047683716
142,2.700000047683716
143,2.700000047683716
144,2.700000047683716
145,2.700000047683716
146,2.700000047683716
147,2.700000047683716
148,2.700000047683716
149,2.700000047683716
150,2.700000047683716
151,2.700000047683716
152,2.700000047683716
153,2.700000047683716
154,2.700000047683716
155,2.700000047683716
156,2.700000047683716
157,2.700000047683716
158,2.700000047683716
159,2.700000047683716
160,2.700000047683716
161,2.700000047683716
162,2.700000047683716
163,2.700000047683716
164,2.700000047683716
165,2.700000047683716
166,2.700000047683716
167,2.700000047683716
168,2.700000047683716
169,2.700000047683716
170,2.700000047683716
171,2.700000047683716
172,2.700000047683716
173,2.700000047683716
174,2.700000047683716
175,2.700000047683716
176,2.700000047683716
177,2.700000047683716
178,2.700000047683716
179,2.700000047683716
180,2.700000047683716
181,2.700000047683716
182,2.700000047683716
183,2.700000047683716
184,2.700000047683716
185,2.700000047683716
186,2.700000047683716
187,2.700000047683716
188,2.700000047683716
189,2.700000047683716
190,2.700000047683716
191,2.700000047683716
192,2.700000047683716
193,2.700000047683716
194,2.700000047683716
195,2.700000047683716
196,2.700000047683716
197,2.700000047683716
198,2.700000047683716
