step,box_translation_distance_0
0,0.01785176992416382
1,0.01785176992416382
2,0.01785130798816681
3,0.01785176992416382
4,0.01785130798816681
5,0.01785130798816681
6,0.01785176992416382
7,0.01785176619887352
8,0.01785176992416382
9,0.01785130798816681
10,0.017851779237389565
11,0.017851775512099266
12,0.01785130798816681
13,0.01785176992416382
14,0.01785130798816681
15,0.01785176992416382
16,0.01785176992416382
17,0.01785130798816681
18,0.017851779237389565
19,0.01785176992416382
20,0.01785176619887352
21,0.01785176992416382
22,0.01785130798816681
23,0.017851779237389565
24,0.01785176992416382
25,0.01785176619887352
26,0.01785130798816681
27,0.017851779237389565
28,0.017851775512099266
29,0.01785176992416382
30,0.01785176992416382
31,0.01785130798816681
32,0.017851779237389565
33,0.017851775512099266
34,0.01785130798816681
35,0.01785176992416382
36,0.01785130798816681
37,0.01785176992416382
38,0.01785176992416382
39,0.01785130798816681
40,0.017851779237389565
41,0.01785176992416382
42,0.015713004395365715
43,0.009168143384158611
44,0.005917713977396488
45,0.004906916059553623
46,0.008087364956736565
47,0.00878624152392149
48,0.008786282502114773
49,0.008786282502114773
50,0.008786295540630817
51,0.008786282502114773
52,0.008786282502114773
53,0.008786282502114773
54,0.008786282502114773
55,0.008786282502114773
56,0.008786282502114773
57,0.008786295540630817
58,0.008786282502114773
59,0.008786282502114773
60,0.008786295540630817
61,0.008786282502114773
62,0.008786282502114773
63,0.008786295540630817
64,0.008786282502114773
65,0.008786282502114773
66,0.008786282502114773
67,0.008786282502114773
68,0.008786282502114773
69,0.008786282502114773
70,0.008786282502114773
71,0.008786282502114773
72,0.008786282502114773
73,0.008786282502114773
74,0.008786282502114773
75,0.008786282502114773
76,0.008786282502114773
77,0.008786295540630817
78,0.008786282502114773
79,0.008786282502114773
80,0.008786282502114773
81,0.008786282502114773
82,0.008786282502114773
83,0.008786282502114773
84,0.008786282502114773
85,0.008786282502114773
86,0.008786282502114773
87,0.008786282502114773
88,0.008786268532276154
89,0.008786282502114773
90,0.008786282502114773
91,0.008786282502114773
92,0.008786282502114773
93,0.008786282502114773
94,0.008786295540630817
95,0.008786282502114773
96,0.008786282502114773
97,0.008786295540630817
98,0.008786282502114773
99,0.008786282502114773
100,0.008786282502114773
101,0.008786282502114773
102,0.008786282502114773
103,0.008786282502114773
104,0.008786282502114773
105,0.008786282502114773
106,0.008786282502114773
107,0.008786282502114773
108,0.008786282502114773
109,0.008786282502114773
110,0.008786282502114773
111,0.008786282502114773
112,0.008786282502114773
113,0.008786282502114773
114,0.008786268532276154
115,0.008786282502114773
116,0.008786282502114773
117,0.008786295540630817
118,0.008786282502114773
119,0.008786282502114773
120,0.008786295540630817
121,0.008786282502114773
122,0.008786282502114773
123,0.008786282502114773
124,0.008786268532276154
125,0.008786282502114773
126,0.008786282502114773
127,0.008786295540630817
128,0.008786282502114773
129,0.008786282502114773
130,0.008786295540630817
131,0.008786282502114773
132,0.008786282502114773
133,0.008786282502114773
134,0.008786282502114773
135,0.008786282502114773
136,0.008786282502114773
137,0.008786282502114773
138,0.008786282502114773
139,0.008786282502114773
140,0.008786282502114773
141,0.008786282502114773
142,0.008786282502114773
143,0.008786282502114773
144,0.008786282502114773
145,0.008786282502114773
146,0.008786282502114773
147,0.008786282502114773
148,0.008786282502114773
149,0.008786282502114773
150,0.008786295540630817
151,0.008786282502114773
152,0.008786282502114773
153,0.008786295540630817
154,0.008786282502114773
155,0.008786282502114773
156,0.008786282502114773
157,0.008786268532276154
158,0.008786282502114773
159,0.008786282502114773
160,0.008786295540630817
161,0.008786282502114773
162,0.008786282502114773
163,0.008786295540630817
164,0.008786282502114773
165,0.008786282502114773
166,0.008786282502114773
167,0.008786282502114773
168,0.008786282502114773
169,0.008786282502114773
170,0.008786282502114773
171,0.008786282502114773
172,0.008786282502114773
173,0.008786282502114773
174,0.008786282502114773
175,0.008786282502114773
176,0.008786282502114773
177,0.008786282502114773
178,0.008786282502114773
179,0.008786282502114773
180,0.008786282502114773
181,0.008786282502114773
182,0.008786282502114773
183,0.008786282502114773
184,0.008786282502114773
185,0.008786282502114773
186,0.008786282502114773
187,0.008786282502114773
188,0.008786282502114773
189,0.008786282502114773
190,0.008786268532276154
191,0.008786282502114773
192,0.008786282502114773
193,0.008786295540630817
194,0.008786282502114773
195,0.008786282502114773
196,0.008786295540630817
197,0.008786282502114773
198,0.008786282502114773
