step,penalty_translation_0
0,-0.0017366749234497547
1,-0.0017366732936352491
2,-0.00173667271155864
3,-0.0017366758547723293
4,-0.0017366737592965364
5,-0.0017366737592965364
6,-0.001736669335514307
7,-0.0017366709653288126
8,-0.0017366742249578238
9,-0.0017366749234497547
10,-0.0017366732936352491
11,-0.0017366709653288126
12,-0.0017366737592965364
13,-0.0017366732936352491
14,-0.001736675389111042
15,-0.0017366710817441344
16,-0.0017366749234497547
17,-0.0017366732936352491
18,-0.0017366772517561913
19,-0.0017366718966513872
20,-0.0017366732936352491
21,-0.0017366732936352491
22,-0.0017366737592965364
23,-0.0017366696847602725
24,-0.0017366749234497547
25,-0.0017366742249578238
26,-0.0017366772517561913
27,-0.0017366710817441344
28,-0.0017366749234497547
29,-0.0017366737592965364
30,-0.0017366742249578238
31,-0.0017366702668368816
32,-0.0017366737592965364
33,-0.0017366732936352491
34,-0.0017366769025102258
35,-0.0017366737592965364
36,-0.0017366723623126745
37,-0.0017366718966513872
38,-0.0017366772517561913
39,-0.0017366710817441344
40,-0.0017366769025102258
41,-0.0017366732936352491
42,-0.0017366758547723293
43,-0.0017366718966513872
44,-0.00173667271155864
45,-0.00173667271155864
46,-0.001736675389111042
47,-0.0017366723623126745
48,-0.001736675389111042
49,-0.0017366723623126745
50,-0.0017366749234497547
51,-0.0017366696847602725
52,-0.00173667271155864
53,-0.00173667271155864
54,-0.0017366758547723293
55,-0.0017366785323247313
56,-0.0017366607207804918
57,-0.0017366763204336166
58,-0.0017366702668368816
59,-0.001736667938530445
60,-0.0017366749234497547
61,-0.0017366737592965364
62,-0.0017366772517561913
63,-0.0017366742249578238
64,-0.0017366732936352491
65,-0.001736669335514307
66,-0.0017366723623126745
67,-0.0017366749234497547
68,-0.0017366718966513872
69,-0.0017366732936352491
70,-0.0017366616521030664
71,-0.0017366749234497547
72,-0.0017366709653288126
73,-0.001736667356453836
74,-0.0017366723623126745
75,-0.0017366687534376979
76,-0.0017366710817441344
77,-0.0017366742249578238
78,-0.001736669335514307
79,-0.0017366742249578238
80,-0.001736669335514307
81,-0.0017366665415465832
82,-0.0017366749234497547
83,-0.0017366737592965364
84,-0.0017366742249578238
85,-0.0017366696847602725
86,-0.0017366742249578238
87,-0.0017366772517561913
88,-0.0017366763204336166
89,-0.0017366749234497547
90,-0.0017366709653288126
91,-0.0017366742249578238
92,-0.00173667271155864
93,-0.0017366742249578238
94,-0.00173667271155864
95,-0.0017366749234497547
96,-0.0017366718966513872
97,-0.0017366763204336166
98,-0.00173667271155864
99,-0.001736675389111042
100,-0.0017366732936352491
101,-0.0017366710817441344
102,-0.0017366710817441344
103,-0.0017366723623126745
104,-0.0017366732936352491
105,-0.0017366742249578238
106,-0.0017366718966513872
107,-0.0017366718966513872
108,-0.0017366702668368816
109,-0.0017366742249578238
110,-0.0017366687534376979
111,-0.0017366737592965364
112,-0.0017366718966513872
113,-0.0017366758547723293
114,-0.0017366742249578238
115,-0.0017366758547723293
116,-0.0017366732936352491
117,-0.001736675389111042
118,-0.0017366772517561913
119,-0.0017366602551192045
120,-0.0017366723623126745
121,-0.001736675389111042
122,-0.001736675389111042
123,-0.00173667271155864
124,-0.0017366710817441344
125,-0.0017366732936352491
126,-0.001736669335514307
127,-0.0017366687534376979
128,-0.0017366737592965364
129,-0.0017366702668368816
130,-0.001736675389111042
131,-0.0017366710817441344
132,-0.0017366749234497547
133,-0.0017366723623126745
134,-0.0017366769025102258
135,-0.0017366737592965364
136,-0.0017366737592965364
137,-0.0017366702668368816
138,-0.0017366718966513872
139,-0.0017366737592965364
140,-0.001736669335514307
141,-0.001736675389111042
142,-0.0017366723623126745
143,-0.0017366687534376979
144,-0.001736669335514307
145,-0.001736675389111042
146,-0.0017366737592965364
147,-0.0017366732936352491
148,-0.0017366723623126745
149,-0.0017366709653288126
150,-0.0017366758547723293
151,-0.0017366737592965364
152,-0.0017366742249578238
153,-0.0017366779502481222
154,-0.0017366718966513872
155,-0.0017366749234497547
156,-0.0017366709653288126
157,-0.0017366769025102258
158,-0.0017366718966513872
159,-0.0017366749234497547
160,-0.0017366758547723293
161,-0.0017366742249578238
162,-0.0017366737592965364
163,-0.001736667938530445
164,-0.0017366749234497547
165,-0.0017366749234497547
166,-0.001736675389111042
167,-0.0017366710817441344
168,-0.0017366769025102258
169,-0.0017366737592965364
170,-0.0017366749234497547
171,-0.0017366758547723293
172,-0.0017366737592965364
173,-0.0017366732936352491
174,-0.001736675389111042
175,-0.0017366737592965364
176,-0.001736675389111042
177,-0.0017366732936352491
178,-0.0017366749234497547
179,-0.0017366737592965364
180,-0.0017366758547723293
181,-0.0017366779502481222
182,-0.0017366616521030664
183,-0.0017366737592965364
184,-0.001736668054945767
185,-0.00173667271155864
186,-0.0017366749234497547
187,-0.0017366758547723293
188,-0.0017366763204336166
189,-0.001736675389111042
190,-0.0017366742249578238
191,-0.0017366763204336166
192,-0.0017366710817441344
193,-0.0017366749234497547
194,-0.0017366732936352491
195,-0.0017366758547723293
196,-0.0017366732936352491
197,-0.0017366732936352491
198,-0.0017366732936352491
