step,penalty_translation_0
0,-0.00024761646636761725
1,-0.00024761646636761725
2,-0.0002476161462254822
3,-0.00024761646636761725
4,-0.00024761646636761725
5,-0.0002476161462254822
6,-0.00024761646636761725
7,-0.00024761646636761725
8,-0.00024761646636761725
9,-0.00024761646636761725
10,-0.0002476161462254822
11,-0.00024761646636761725
12,-0.00024761646636761725
13,-0.0002476161462254822
14,-0.00024761646636761725
15,-0.00024761646636761725
16,-0.0002476161462254822
17,-0.00024761646636761725
18,-0.00024761646636761725
19,-0.00024761646636761725
20,-0.00024761646636761725
21,-0.0002476161462254822
22,-0.00024761646636761725
23,-0.00024761646636761725
24,-0.0002476161462254822
25,-0.00024761646636761725
26,-0.00024761646636761725
27,-0.0002476161462254822
28,-0.00024761646636761725
29,-0.00024761646636761725
30,-0.00024761646636761725
31,-0.00024761646636761725
32,-0.0002476161462254822
33,-0.00024761646636761725
34,-0.00024761646636761725
35,-0.0002476161462254822
36,-0.00024761646636761725
37,-0.00024761646636761725
38,-0.0002476161462254822
39,-0.00024761646636761725
40,-0.00024761646636761725
41,-0.00024761646636761725
42,-0.00024761646636761725
43,-0.0002476161462254822
44,-0.00024761646636761725
45,-0.00024761646636761725
46,-0.0002476161462254822
47,-0.00024761646636761725
48,-0.00024761646636761725
49,-0.0002476161462254822
50,-0.00024761646636761725
51,-0.00024761646636761725
52,-0.00024761646636761725
53,-0.00024761646636761725
54,-0.0002476161462254822
55,-0.00024761646636761725
56,-0.00024761646636761725
57,-0.0002476161462254822
58,-0.00024761646636761725
59,-0.00024761646636761725
60,-0.0002476161462254822
61,-0.00024761646636761725
62,-0.00024761646636761725
63,-0.00024761646636761725
64,-0.00024761646636761725
65,-0.0002476161462254822
66,-0.00024761646636761725
67,-0.00024761646636761725
68,-0.0002476161462254822
69,-0.00024761646636761725
70,-0.00024761646636761725
71,-0.0002476161462254822
72,-0.00024761646636761725
73,-0.00024761646636761725
74,-0.00024761646636761725
75,-0.00024761646636761725
76,-0.0002476161462254822
77,-0.00024761646636761725
78,-0.00024761646636761725
79,-0.0002476161462254822
80,-0.00024761646636761725
81,-0.00024761646636761725
82,-0.0002476161462254822
83,-0.00024761646636761725
84,-0.00024761646636761725
85,-0.00024761646636761725
86,-0.00024761646636761725
87,-0.0002476161462254822
88,-0.00024761646636761725
89,-0.00024761646636761725
90,-0.0002476161462254822
91,-0.00024761646636761725
92,-0.00024761646636761725
93,-0.0002476161462254822
94,-0.00024761646636761725
95,-0.00024761646636761725
96,-0.00024761646636761725
97,-0.00024761646636761725
98,-0.0002476161462254822
99,-0.00024761646636761725
100,-0.00024761646636761725
101,-0.0002476161462254822
102,-0.00024761646636761725
103,-0.00024761646636761725
104,-0.0002476161462254822
105,-0.00024761646636761725
106,-0.00024761646636761725
107,-0.00024761646636761725
108,-0.00024761646636761725
109,-0.0002476161462254822
110,-0.00024761646636761725
111,-0.00024761646636761725
112,-0.0002476161462254822
113,-0.00024761646636761725
114,-0.00024761646636761725
115,-0.0002476161462254822
116,-0.00024761646636761725
117,-0.00024761646636761725
118,-0.00024761646636761725
119,-0.00024761646636761725
120,-0.0002476161462254822
121,-0.00024761646636761725
122,-0.00024761646636761725
123,-0.0002476161462254822
124,-0.00024761646636761725
125,-0.00024761646636761725
126,-0.0002476161462254822
127,-0.00024761646636761725
128,-0.00024761646636761725
129,-0.00024761646636761725
130,-0.00024761646636761725
131,-0.0002476161462254822
132,-0.00024761646636761725
133,-0.00024761646636761725
134,-0.0002476161462254822
135,-0.00024761646636761725
136,-0.00024761646636761725
137,-0.0002476161462254822
138,-0.00024761646636761725
139,-0.00024761646636761725
140,-0.00024761646636761725
141,-0.00024761646636761725
142,-0.0002476161462254822
143,-0.00024761646636761725
144,-0.00024761646636761725
145,-0.0002476161462254822
146,-0.00024761646636761725
147,-0.00024761646636761725
148,-0.0002476161462254822
149,-0.00024761646636761725
150,-0.00024761646636761725
151,-0.00024761646636761725
152,-0.00024761646636761725
153,-0.0002476161462254822
154,-0.00024761646636761725
155,-0.00024761646636761725
156,-0.0002476161462254822
157,-0.00024761646636761725
158,-0.00024761646636761725
159,-0.0002476161462254822
160,-0.00024761646636761725
161,-0.00024761646636761725
162,-0.00024761646636761725
163,-0.00024761646636761725
164,-0.0002476161462254822
165,-0.00024761646636761725
166,-0.00024761646636761725
167,-0.0002476161462254822
168,-0.00024761646636761725
169,-0.00024761646636761725
170,-0.0002476161462254822
171,-0.00024761646636761725
172,-0.00024761646636761725
173,-0.00024761646636761725
174,-0.00024761646636761725
175,-0.0002476161462254822
176,-0.00024761646636761725
177,-0.00024761646636761725
178,-0.0002476161462254822
179,-0.00024761646636761725
180,-0.00024761646636761725
181,-0.0002476161462254822
182,-0.00024761646636761725
183,-0.00024761646636761725
184,-0.00024761646636761725
185,-0.00024761646636761725
186,-0.0002476161462254822
187,-0.0021431236527860165
188,-0.015412888489663601
189,-0.0394132174551487
190,-0.06064434349536896
191,-0.07157967239618301
192,-0.07284308969974518
193,-0.07284240424633026
194,-0.07284240424633026
195,-0.07284240424633026
196,-0.07284240424633026
197,-0.07284308969974518
198,-0.07284308969974518
