step,obs/extra/box_pose_6d_from_bimanual_center_0,obs/extra/box_pose_6d_from_bimanual_center_1,obs/extra/box_pose_6d_from_bimanual_center_2,obs/extra/box_pose_6d_from_bimanual_center_3,obs/extra/box_pose_6d_from_bimanual_center_4,obs/extra/box_pose_6d_from_bimanual_center_5,obs/extra/box_pose_6d_from_bimanual_center_6,obs/extra/box_pose_6d_from_bimanual_center_7,obs/extra/box_pose_6d_from_bimanual_center_8
0,0.34928444027900696,0.0042000142857432365,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,-1.1074220651607902e-07,-0.9305365085601807,-0.3661993741989136,-7.963830626067647e-07
1,0.34928447008132935,0.004199984949082136,-0.031000055372714996,-0.366199254989624,0.9305365681648254,5.953558570581663e-07,-0.9305365681648254,-0.366199254989624,1.7935714424766047e-07
2,0.34928444027900696,0.004200019873678684,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-4.947580678482666e-10,-0.9305365681648254,-0.366199254989624,-2.1335210931283655e-07
3,0.34928444027900696,0.004200011491775513,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-9.192503114263673e-08,-0.9305365681648254,-0.366199254989624,-7.748917028038704e-07
4,0.34928447008132935,0.004199985880404711,-0.031000055372714996,-0.366199254989624,0.9305365681648254,6.064738613531517e-07,-0.9305365681648254,-0.366199254989624,1.975885197680327e-07
5,0.34928444027900696,0.004200017545372248,-0.031000077724456787,-0.366199254989624,0.9305365681648254,2.801222809267756e-09,-0.9305365681648254,-0.366199254989624,-1.9241545601289545e-07
6,0.34928444027900696,0.004200062248855829,-0.031000040471553802,-0.3661994934082031,0.9305364489555359,-1.262353332975863e-08,-0.9305364489555359,-0.3661994934082031,1.9004407647571497e-07
7,0.34928441047668457,0.004200033377856016,-0.031000029295682907,-0.366199254989624,0.9305364489555359,6.852241796195813e-08,-0.9305364489555359,-0.366199254989624,5.555647817345744e-07
8,0.34928444027900696,0.004200040362775326,-0.03100007399916649,-0.3661994934082031,0.9305364489555359,-6.750138936695294e-08,-0.9305364489555359,-0.3661994934082031,-2.3201562271424336e-07
9,0.34928444027900696,0.004200014751404524,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-1.0646756720689154e-07,-0.9305365681648254,-0.366199254989624,-8.098430726022343e-07
10,0.34928447008132935,0.0041999854147434235,-0.031000055372714996,-0.3661993741989136,0.9305365085601807,5.858085501131427e-07,-0.9305365085601807,-0.3661993741989136,1.7244681771444448e-07
11,0.34928444027900696,0.004200018476694822,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-4.787663243632778e-08,-0.9305365681648254,-0.366199254989624,-5.950030299572973e-07
12,0.34928444027900696,0.004199983552098274,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,6.336885007840465e-07,-0.9305364489555359,-0.3661994934082031,2.7126500867780123e-07
13,0.34928441047668457,0.0042000385001301765,-0.031000040471553802,-0.366199254989624,0.9305364489555359,3.076785617395217e-07,-0.9305364489555359,-0.366199254989624,3.6452814100584874e-08
14,0.34928441047668457,0.004200029652565718,-0.031000029295682907,-0.366199254989624,0.9305364489555359,-5.109851741735838e-08,-0.9305364489555359,-0.366199254989624,4.093733991794579e-07
15,0.34928444027900696,0.004199982155114412,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,3.842619946681225e-07,-0.9305364489555359,-0.3661994934082031,-2.874675999464671e-07
16,0.34928444027900696,0.0042000203393399715,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-4.2083602380671437e-08,-0.9305365681648254,-0.366199254989624,-6.360066322486091e-07
17,0.34928447008132935,0.004199984483420849,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,6.116193844718509e-07,-0.9305364489555359,-0.3661994934082031,2.393397267042019e-07
18,0.34928444027900696,0.0042000096291303635,-0.03100007399916649,-0.3661993741989136,0.9305365085601807,8.684879730935791e-07,-0.9305365085601807,-0.3661993741989136,9.036090204972425e-07
19,0.34928444027900696,0.004200064577162266,-0.031000040471553802,-0.3661994934082031,0.9305364489555359,1.3870197790311067e-07,-0.9305364489555359,-0.3661994934082031,2.070747910920545e-07
20,0.34928441047668457,0.0042000412940979,-0.031000040471553802,-0.366199254989624,0.9305364489555359,2.9245978794278926e-07,-0.9305364489555359,-0.366199254989624,3.067106391085872e-08
21,0.34928441047668457,0.00420002918690443,-0.031000029295682907,-0.366199254989624,0.9305364489555359,-4.5164291861965467e-08,-0.9305364489555359,-0.366199254989624,3.9631470372114563e-07
22,0.34928444027900696,0.004199983552098274,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,3.655939337932068e-07,-0.9305364489555359,-0.3661994934082031,-2.9281389402058267e-07
23,0.34928444027900696,0.004200016614049673,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-5.755183707378819e-08,-0.9305365681648254,-0.366199254989624,-6.389520308403007e-07
24,0.34928447008132935,0.0041999840177595615,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,6.114668167356285e-07,-0.9305364489555359,-0.3661994934082031,2.350402183992628e-07
25,0.34928444027900696,0.004200014751404524,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,1.4059583719472357e-08,-0.9305365085601807,-0.3661993741989136,-1.658246162605792e-07
26,0.34928441047668457,0.004200059454888105,-0.031000040471553802,-0.366199254989624,0.9305364489555359,1.8384755051670254e-08,-0.9305364489555359,-0.366199254989624,1.6519713597062946e-07
27,0.34928444027900696,0.004200053866952658,-0.031000040471553802,-0.366199254989624,0.9305364489555359,1.6911533862185024e-07,-0.9305364489555359,-0.366199254989624,2.583344382856012e-07
28,0.34928441047668457,0.0042000412940979,-0.031000040471553802,-0.366199254989624,0.9305364489555359,3.2953315098893654e-07,-0.9305364489555359,-0.366199254989624,8.21703594056089e-08
29,0.34928444027900696,0.00420002918690443,-0.03100007399916649,-0.366199254989624,0.9305364489555359,7.736820180070936e-07,-0.9305364489555359,-0.366199254989624,7.468311196134891e-07
30,0.34928441047668457,0.0042000338435173035,-0.031000029295682907,-0.366199254989624,0.9305364489555359,7.067360030532654e-08,-0.9305364489555359,-0.366199254989624,6.304825319602969e-07
31,0.34928444027900696,0.004199986346065998,-0.031000055372714996,-0.3661993741989136,0.9305365085601807,4.934397566103144e-07,-0.9305365085601807,-0.3661993741989136,-2.2844379721220776e-09
32,0.34928441047668457,0.0042000277899205685,-0.03100007399916649,-0.3661993741989136,0.9305363893508911,7.993741633072204e-07,-0.9305363893508911,-0.3661993741989136,7.646571020814008e-07
33,0.34928441047668457,0.00420006038621068,-0.031000040471553802,-0.366199254989624,0.9305364489555359,2.8942648278018623e-09,-0.9305364489555359,-0.366199254989624,9.278284096581046e-08
34,0.34928444027900696,0.004200058523565531,-0.031000040471553802,-0.366199254989624,0.9305364489555359,1.833926148719911e-07,-0.9305364489555359,-0.366199254989624,3.025706121206895e-07
35,0.34928447008132935,0.004199985880404711,-0.031000055372714996,-0.3661993741989136,0.9305363893508911,6.31004411388858e-07,-0.9305363893508911,-0.3661993741989136,2.933460336862481e-07
36,0.34928441047668457,0.004200029652565718,-0.03100007399916649,-0.3661993741989136,0.9305363893508911,6.310140179266455e-07,-0.9305363893508911,-0.3661993741989136,8.94655045158288e-07
37,0.34928441047668457,0.004200058989226818,-0.031000040471553802,-0.3661993741989136,0.9305363893508911,2.5154434979413054e-07,-0.9305363893508911,-0.3661993741989136,4.3504513769221376e-07
38,0.34928441047668457,0.004200055729597807,-0.031000040471553802,-0.3661993741989136,0.9305363893508911,9.116129007225027e-08,-0.9305363893508911,-0.3661993741989136,2.6340325121054775e-07
39,0.34928444027900696,0.004200034309178591,-0.03100007399916649,-0.366199254989624,0.9305365681648254,-2.3346910182908687e-08,-0.9305365681648254,-0.366199254989624,-1.5512280526763789e-07
40,0.34928444027900696,0.004200037103146315,-0.031000040471553802,-0.366199254989624,0.9305365681648254,2.2039549207875098e-07,-0.9305365681648254,-0.366199254989624,-1.6235338762271567e-07
41,0.34928441047668457,0.004200020805001259,-0.031000077724456787,-0.3661991357803345,0.9305365085601807,-8.103820192673084e-08,-0.9305365085601807,-0.3661991357803345,-4.22264747612644e-07
42,0.34928444027900696,0.004199985880404711,-0.031000055372714996,-0.366199254989624,0.9305365681648254,3.7779471995236236e-07,-0.9305365681648254,-0.366199254989624,-2.6685947318583203e-07
43,0.34928444027900696,0.004200019408017397,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,-5.6968232797771634e-08,-0.9305365085601807,-0.3661993741989136,-6.290364922278968e-07
44,0.34928441047668457,0.00420002918690443,-0.031000029295682907,-0.3661994934082031,0.9305364489555359,-1.6992107276792012e-08,-0.9305364489555359,-0.3661994934082031,4.341483190728468e-07
45,0.34928444027900696,0.004199981223791838,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,3.9189151834762015e-07,-0.9305364489555359,-0.3661994934082031,-2.5925879754140624e-07
46,0.34928444027900696,0.004200017545372248,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,-3.449969909752326e-08,-0.9305365085601807,-0.3661993741989136,-6.112513801781461e-07
47,0.34928444027900696,0.004200025927275419,-0.03100007027387619,-0.3661993741989136,0.9305363893508911,2.1716805065352673e-07,-0.9305363893508911,-0.3661993741989136,5.836214995724731e-07
48,0.34928444027900696,0.00420005526393652,-0.031000040471553802,-0.3661993741989136,0.9305365085601807,1.4963099204123864e-07,-0.9305365085601807,-0.3661993741989136,2.7916158273910696e-07
49,0.34928444027900696,0.004200046416372061,-0.031000040471553802,-0.3661993741989136,0.9305365085601807,3.2345977274417237e-07,-0.9305365085601807,-0.3661993741989136,9.80413616957776e-08
50,0.34928441047668457,0.004200023598968983,-0.031000029295682907,-0.3661993741989136,0.9305363893508911,-1.3415146327133698e-08,-0.9305363893508911,-0.3661993741989136,4.595269729179563e-07
51,0.34928441047668457,0.004200021270662546,-0.031000033020973206,-0.3661993741989136,0.9305365085601807,-2.357662651775172e-07,-0.9305365085601807,-0.3661993741989136,-7.012603759903868e-07
52,0.34928444027900696,0.004199989605695009,-0.031000055372714996,-0.3661993741989136,0.9305363893508911,5.207519961913931e-07,-0.9305363893508911,-0.3661993741989136,1.2110874081372458e-08
53,0.34928441047668457,0.004199999384582043,-0.031000036746263504,-0.3661993741989136,0.9305365085601807,3.269369130975974e-07,-0.9305365085601807,-0.3661993741989136,-6.992401040406548e-07
54,0.34928447008132935,0.004199986811727285,-0.031000055372714996,-0.366199254989624,0.9305365681648254,5.965808327346167e-07,-0.9305365681648254,-0.366199254989624,2.1527520743802597e-07
55,0.34928444027900696,0.004200037103146315,-0.031000040471553802,-0.366199254989624,0.9305365681648254,2.447689553264354e-07,-0.9305365681648254,-0.366199254989624,-1.1118957132794094e-07
56,0.34928441047668457,0.004199995659291744,-0.031000036746263504,-0.366199254989624,0.9305365681648254,3.2064730248748674e-07,-0.9305365681648254,-0.366199254989624,-6.770605978090316e-07
57,0.34928444027900696,0.004199987277388573,-0.031000055372714996,-0.366199254989624,0.9305365681648254,6.128693144091812e-07,-0.9305365681648254,-0.366199254989624,2.3329597809151892e-07
58,0.34928447008132935,0.0041999672539532185,-0.031000055372714996,-0.3661991357803345,0.9305365085601807,7.993589292709657e-07,-0.9305365085601807,-0.3661991357803345,-5.389336621419716e-08
59,0.34928444027900696,0.004200016148388386,-0.031000077724456787,-0.3661991357803345,0.9305365085601807,-4.025548960839842e-08,-0.9305365085601807,-0.3661991357803345,-6.39003360447532e-07
60,0.34928441047668457,0.004200028255581856,-0.031000029295682907,-0.3661994934082031,0.9305364489555359,-3.4060654741097096e-08,-0.9305364489555359,-0.3661994934082031,4.329336320552102e-07
61,0.34928444027900696,0.004199981223791838,-0.031000055372714996,-0.3661994934082031,0.9305364489555359,3.8922283351894293e-07,-0.9305364489555359,-0.3661994934082031,-2.6197747615697153e-07
62,0.34928444027900696,0.004200019408017397,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,-4.9435993076940576e-08,-0.9305365085601807,-0.3661993741989136,-6.090091346777626e-07
63,0.34928441047668457,0.004200030118227005,-0.031000029295682907,-0.3661994934082031,0.9305364489555359,-1.70145320055326e-08,-0.9305364489555359,-0.3661994934082031,4.564075197777129e-07
64,0.34928441047668457,0.004200022667646408,-0.031000033020973206,-0.3661993741989136,0.9305365085601807,-1.1275973577085097e-07,-0.9305365085601807,-0.3661993741989136,-3.560897141596797e-07
65,0.34928444027900696,0.004199986346065998,-0.031000055372714996,-0.3661993741989136,0.9305365085601807,4.917783371638507e-07,-0.9305365085601807,-0.3661993741989136,-3.520868041562153e-09
66,0.34928441047668457,0.0042000277899205685,-0.03100007399916649,-0.3661993741989136,0.9305363893508911,7.978721896506613e-07,-0.9305363893508911,-0.3661993741989136,7.633931318196119e-07
67,0.34928441047668457,0.0042000566609203815,-0.031000040471553802,-0.366199254989624,0.9305364489555359,3.8736946983419784e-09,-0.9305364489555359,-0.366199254989624,9.065378492323362e-08
68,0.34928444027900696,0.004200058989226818,-0.031000040471553802,-0.366199254989624,0.9305364489555359,1.816056425241186e-07,-0.9305364489555359,-0.366199254989624,2.970760704101849e-07
69,0.34928447008132935,0.004199986346065998,-0.031000055372714996,-0.3661993741989136,0.9305363893508911,6.292257808127033e-07,-0.9305363893508911,-0.3661993741989136,2.8810688945668517e-07
70,0.34928441047668457,0.004200031980872154,-0.03100007399916649,-0.3661993741989136,0.9305363893508911,6.209509706422978e-07,-0.9305363893508911,-0.3661993741989136,8.902671879695845e-07
71,0.34928441047668457,0.004200007766485214,-0.031000059098005295,-0.366199254989624,0.9305364489555359,3.041427873995417e-07,-0.9305364489555359,-0.366199254989624,3.184526349286898e-07
72,0.34928441047668457,0.004200061317533255,-0.031000040471553802,-0.3661994934082031,0.9305364489555359,2.2123471055124355e-08,-0.9305364489555359,-0.3661994934082031,1.8168275062180328e-07
73,0.34928444027900696,0.004200058523565531,-0.031000040471553802,-0.3661993741989136,0.9305365085601807,-1.6046378448208998e-08,-0.9305365085601807,-0.3661993741989136,5.360387689279378e-08
74,0.34928444027900696,0.004200019408017397,-0.031000077724456787,-0.366199254989624,0.9305364489555359,1.3104682894393704e-09,-0.9305364489555359,-0.366199254989624,-5.009940764466592e-07
75,0.34928441047668457,0.0042000277899205685,-0.03100007399916649,-0.3661993741989136,0.9305365085601807,7.221073019536561e-07,-0.9305365085601807,-0.3661993741989136,7.051146440062439e-07
76,0.34928444027900696,0.004200059454888105,-0.031000040471553802,-0.3661994934082031,0.9305364489555359,1.8528480438817496e-07,-0.9305364489555359,-0.3661994934082031,3.681241480535391e-07
77,0.34928447008132935,0.004199969116598368,-0.031000055372714996,-0.3661993741989136,0.9305365085601807,8.86298323621304e-07,-0.9305365085601807,-0.3661993741989136,1.2637156032724306e-07
78,0.34928444027900696,0.004200015217065811,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,3.3701832435895085e-09,-0.9305365085601807,-0.3661993741989136,-1.6860229834492202e-07
79,0.34928441047668457,0.004200008697807789,-0.031000059098005295,-0.3661993741989136,0.9305365085601807,2.9813000423928315e-07,-0.9305365085601807,-0.3661993741989136,3.3064446824937477e-07
80,0.34928441047668457,0.004200033377856016,-0.03100007399916649,-0.3661993741989136,0.9305365085601807,5.747680233980645e-07,-0.9305365085601807,-0.3661993741989136,7.722238137830573e-07
81,0.34928441047668457,0.004200040828436613,-0.031000040471553802,-0.366199254989624,0.9305364489555359,2.759834671905992e-07,-0.9305364489555359,-0.366199254989624,1.752213485417542e-08
82,0.34928441047668457,0.00420002918690443,-0.031000029295682907,-0.366199254989624,0.9305364489555359,-3.933297776370637e-08,-0.9305364489555359,-0.366199254989624,3.7379498962764046e-07
83,0.34928444027900696,0.004199986346065998,-0.031000055372714996,-0.3661993741989136,0.9305365085601807,5.050118261351599e-07,-0.9305365085601807,-0.3661993741989136,1.6610091080337952e-08
84,0.34928444027900696,0.004200013354420662,-0.031000077724456787,-0.3661993741989136,0.9305365085601807,-1.0823580964824941e-07,-0.9305365085601807,-0.3661993741989136,-7.848332757021126e-07
85,0.34928447008132935,0.004199983552098274,-0.031000055372714996,-0.366199254989624,0.9305365681648254,6.028705001881463e-07,-0.9305365681648254,-0.366199254989624,1.9046403565425862e-07
86,0.34928444027900696,0.00420001894235611,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-2.161258116917253e-10,-0.9305365681648254,-0.366199254989624,-2.032590202816209e-07
87,0.34928444027900696,0.004200013820081949,-0.031000077724456787,-0.366199254989624,0.9305365681648254,-9.226680219853733e-08,-0.9305365681648254,-0.366199254989624,-7.670606692045112e-07
88,0.34928447008132935,0.004199984949082136,-0.031000055372714996,-0.366199254989624,0.9305365681648254,5.897246637687203e-07,-0.9305365681648254,-0.366199254989624,2.1045612186298968e-07
89,0.34928444027900696,0.004200037103146315,-0.031000040471553802,-0.366199254989624,0.9305364489555359,-1.1653503406705568e-07,-0.9305364489555359,-0.366199254989624,-2.645463226258471e-08
