step,tcp_lead_left_component_0
0,0.2499997466802597
1,0.2499997466802597
2,0.2499997466802597
3,0.2499997466802597
4,0.2499997466802597
5,0.2499997466802597
6,0.2499997466802597
7,0.2499997466802597
8,0.2499997466802597
9,0.2499997466802597
10,0.2499997466802597
11,0.2499997466802597
12,0.2499997466802597
13,0.2499997466802597
14,0.2499997466802597
15,0.2499997466802597
16,0.2499997466802597
17,0.2499997466802597
18,0.2499997466802597
19,0.2499997466802597
20,0.2499997466802597
21,0.2499997466802597
22,0.2499997466802597
23,0.2499997466802597
24,0.2499997466802597
25,0.2499997466802597
26,0.2499997466802597
27,0.2499997466802597
28,0.2499997466802597
29,0.2499997466802597
30,0.2499997466802597
31,0.2499997466802597
32,0.2499997466802597
33,0.2499997466802597
34,0.2499997466802597
35,0.2499997466802597
36,0.2499997466802597
37,0.2499997466802597
38,0.2499997466802597
39,0.2499997466802597
40,0.2499997466802597
41,0.2499997466802597
42,0.03510468080639839
43,-0.25
44,-0.25
45,-0.25
46,-0.25
47,-0.25
48,-0.25
49,-0.25
50,-0.25
51,-0.25
52,-0.25
53,-0.25
54,-0.25
55,-0.25
56,-0.25
57,-0.25
58,-0.25
59,-0.25
60,-0.25
61,-0.25
62,-0.25
63,-0.25
64,-0.25
65,-0.25
66,-0.25
67,-0.25
68,-0.25
69,-0.25
70,-0.25
71,-0.25
72,-0.25
73,-0.25
74,-0.25
75,-0.25
76,-0.25
77,-0.25
78,-0.25
79,-0.25
80,-0.25
81,-0.25
82,-0.25
83,-0.25
84,-0.25
85,-0.25
86,-0.25
87,-0.25
88,-0.25
89,-0.25
90,-0.25
91,-0.25
92,-0.25
93,-0.25
94,-0.25
95,-0.25
96,-0.25
97,-0.25
98,-0.25
99,-0.25
100,-0.25
101,-0.25
102,-0.25
103,-0.25
104,-0.25
105,-0.25
106,-0.25
107,-0.25
108,-0.25
109,-0.25
110,-0.25
111,-0.25
112,-0.25
113,-0.25
114,-0.25
115,-0.25
116,-0.25
117,-0.25
118,-0.25
119,-0.25
120,-0.25
121,-0.25
122,-0.25
123,-0.25
124,-0.25
125,-0.25
126,-0.25
127,-0.25
128,-0.25
129,-0.25
130,-0.25
131,-0.25
132,-0.25
133,-0.25
134,-0.25
135,-0.25
136,-0.25
137,-0.25
138,-0.25
139,-0.25
140,-0.25
141,-0.25
142,-0.25
143,-0.25
144,-0.25
145,-0.25
146,-0.25
147,-0.25
148,-0.25
149,-0.25
150,-0.25
151,-0.25
152,-0.25
153,-0.25
154,-0.25
155,-0.25
156,-0.25
157,-0.25
158,-0.25
159,-0.25
160,-0.25
161,-0.25
162,-0.25
163,-0.25
164,-0.25
165,-0.25
166,-0.25
167,-0.25
168,-0.25
169,-0.25
170,-0.25
171,-0.25
172,-0.25
173,-0.25
174,-0.25
175,-0.25
176,-0.25
177,-0.25
178,-0.25
179,-0.25
180,-0.25
181,-0.25
182,-0.25
183,-0.25
184,-0.25
185,-0.25
186,-0.25
187,-0.25
188,-0.25
189,-0.25
190,-0.25
191,-0.25
192,-0.25
193,-0.25
194,-0.25
195,-0.25
196,-0.25
197,-0.25
198,-0.25
